census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2010,441,108856,108856,475-477 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),Hotel Spencer,475 Spencer Street WEST MELBOURNE 3003,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,144.9490694,-37.80965978,"-37.8096597831, 144.94906938944166"
2010,444,598605,598605,355-369 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),Western Coffee Lounge,357 Spencer Street WEST MELBOURNE 3003,4511,Cafes and Restaurants,Seats - Indoor,30,144.950322,-37.81194004,"-37.81194004485, 144.95032197054897"
2010,523,104379,104379,1 Gower Street KENSINGTON 3031,Kensington,Kensington Pizza,1 Gower Street KENSINGTON 3031,4512,Takeaway Food Services,Seats - Indoor,33,144.9301069,-37.79464499,"-37.79464498589469, 144.93010687105"
2010,547,103380,103380,43 Epsom Road KENSINGTON 3031,Kensington,Blush Foodroom,43 Epsom Road KENSINGTON 3031,4511,Cafes and Restaurants,Seats - Indoor,60,144.9255963,-37.79223942,"-37.792239422799994, 144.92559633504936"
2009,33,105936,105936,433 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Lucia's Palace,433 Little Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,144.9603418,-37.81631387,"-37.81631387263154, 144.960341806"
2009,34,110670,110670,363-367 Little Collins Street MELBOURNE 3000,Melbourne (CBD),City Blend,"Unit 1, Ground , 365 Little Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,20,144.9628116,-37.81581715,"-37.81581714759977, 144.96281159735"
2009,35,102141,102141,280-292 Collins Street MELBOURNE 3000,Melbourne (CBD),The Charles Dickens Tavern,"Basement , 290 Collins Street MELBOURNE 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,120,144.9645698,-37.81562963,"-37.81562963034534, 144.9645698422"
2009,35,103325,103325,84-86 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Hudsons Coffee,84-86 Elizabeth Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,8,144.9641821,-37.81591295,"-37.81591295015, 144.96418214674662"
2009,36,102148,102148,184-192 Collins Street MELBOURNE 3000,Melbourne (CBD),Bistrot D'Orsay,184 Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,65,144.9672766,-37.81485205,"-37.81485204543456, 144.967276626"
2009,36,102149,102149,182 Collins Street MELBOURNE 3000,Melbourne (CBD),Teppenyaki Inn,"Shop 2, Rear Ground , 182 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.9674401,-37.81478624,"-37.8147862428495, 144.96744010055"
2009,38,108274,108274,2-18 Ridgway Place MELBOURNE 3000,Melbourne (CBD),The Lyceum Club,2-18 Ridgway Place MELBOURNE 3000,4530,Clubs (Hospitality),Seats - Indoor,85,144.9725951,-37.81314971,"-37.81314971009941, 144.97259506245"
2009,41,105948,105948,582-584 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Brux Bar And Restaurant,582-584 Little Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,15,144.9553519,-37.81741896,"-37.817418958437955, 144.9553519104"
2009,42,101158,101158,573-585 Bourke Street MELBOURNE 3000,Melbourne (CBD),My Ko Cafe,"Part Ground , 575 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,52,144.9566697,-37.81651311,"-37.81651310953019, 144.95666971675"
2009,42,105390,105390,589-603 Bourke Street MELBOURNE 3000,Melbourne (CBD),Gloria Jean's Coffees,"Shop 1, Ground , 601 Bourke Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,28,144.9561828,-37.81652803,"-37.81652802855, 144.95618282912488"
2009,44,105956,105956,384-390 Little Collins Street MELBOURNE 3000,Melbourne (CBD),MYO,"Ground , 384 Little Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,15,144.9617382,-37.81560649,"-37.81560648640891, 144.96173823575"
2009,44,106372,106372,19 McKillop Street MELBOURNE 3000,Melbourne (CBD),Guhang Korean Charcoal BBQ Restaurant,19 McKillop Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,106,144.961621,-37.81534185,"-37.8153418477, 144.96162095755864"
2009,46,105962,105962,218-242 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Hairy Little Sister,236 Little Collins Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Outdoor,48,144.9668004,-37.81413147,"-37.81413146885, 144.96680036310198"
2009,46,109413,109413,146 Swanston Street MELBOURNE 3000,Melbourne (CBD),Ten Ren's Tea Time,"Ground , 146 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,30,144.9662272,-37.81416931,"-37.814169310699995, 144.9662271969642"
2009,48,103626,103626,114-122 Exhibition Street MELBOURNE 3000,Melbourne (CBD),European Bier Cafe,114-122 Exhibition Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,250,144.971197,-37.81286229,"-37.81286229016656, 144.97119695115"
2009,48,105967,105967,68-70 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Pony,68-70 Little Collins Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,50,144.9713311,-37.81284125,"-37.81284125336026, 144.97133106450002"
